Timestamp,Bathroom ,Building ,Floor,CFU 
2023/04/25 1:06:53 PM MDT,Female,8,2,1
2023/04/25 1:06:53 PM MDT,Female,8,2,53
2023/04/25 1:07:28 PM MDT,Male,4,1,0
2023/04/25 1:07:38 PM MDT,Male,12,1,30
2023/04/25 1:07:44 PM MDT,Male,8,2,62
2023/04/25 1:07:44 PM MDT,Male,8,1,100
2023/04/25 1:07:46 PM MDT,Female,6,2,5
2023/04/25 1:07:48 PM MDT,Female,8,1,8
2023/04/25 1:07:50 PM MDT,Male,8,1,70
2023/04/25 1:07:57 PM MDT,Female,8,2,53
2023/04/25 1:08:13 PM MDT,Male,12,2,72
2023/04/25 1:08:29 PM MDT,Female,8,3,8
2023/04/25 1:08:41 PM MDT,Female,8,3,6
2023/04/25 1:08:41 PM MDT,Female,6,1,42
2023/04/25 1:08:54 PM MDT,Female,8,1,4
2023/04/25 1:09:03 PM MDT,Female,8,3,1
2023/04/25 1:09:19 PM MDT,Female,8,1,16
2023/04/25 1:09:26 PM MDT,Female,6,1,70
2023/04/25 1:09:28 PM MDT,Female,8,3,86
2023/04/25 1:09:37 PM MDT,Female,8,1,1
2023/04/25 1:09:42 PM MDT,Male,8,3,15
2023/04/25 1:09:43 PM MDT,Female,7,3,93
2023/04/25 1:09:49 PM MDT,Female,6,2,4
2023/04/25 1:09:52 PM MDT,Male,3,2,14
2023/04/25 1:10:07 PM MDT,Male,3,2,0
2023/04/25 1:10:11 PM MDT,Male,4,1,0
2023/04/25 1:10:25 PM MDT,Female,8,1,88
2023/04/25 1:10:38 PM MDT,Male,6,2,100
2023/04/25 1:10:43 PM MDT,Female,12,1,0
2023/04/25 1:10:48 PM MDT,Female,7,1,60
2023/04/25 1:10:52 PM MDT,Male,12,1,100
2023/04/25 1:10:56 PM MDT,Female,7,2,13
2023/04/25 1:11:06 PM MDT,Female,7,3,150
2023/04/25 1:11:12 PM MDT,Female,12,1,16
2023/04/25 1:11:13 PM MDT,Male,3,2,25
2023/04/25 1:11:25 PM MDT,Male,8,3,76
2023/04/25 1:11:32 PM MDT,Male,4,2,2
2023/04/25 1:11:32 PM MDT,Male,6,1,13
2023/04/25 1:11:40 PM MDT,Female,8,2,6
2023/04/25 1:11:48 PM MDT,Male,3,1,21
2023/04/25 1:11:51 PM MDT,Male,12,1,0
2023/04/25 1:12:02 PM MDT,Female,12,1,1
2023/04/25 1:12:07 PM MDT,Male,12,1,3
2023/04/25 1:12:09 PM MDT,Female,6,1,7
2023/04/25 1:12:17 PM MDT,Male,3,2,1
2023/04/25 1:12:22 PM MDT,Female,8,3,3
2023/04/25 1:12:39 PM MDT,Male,4,1,5
2023/04/25 1:12:41 PM MDT,Female,7,1,16
2023/04/25 1:12:45 PM MDT,Male,12,1,1
2023/04/25 1:13:06 PM MDT,Male,6,2,4
2023/04/25 1:13:13 PM MDT,Female,7,3,3
2023/04/25 1:13:17 PM MDT,Female,7,2,9
2023/04/25 1:13:23 PM MDT,Female,5,1,22
2023/04/25 1:13:26 PM MDT,Female,7,1,11
2023/04/25 1:13:29 PM MDT,Female,7,2,5
2023/04/25 1:13:34 PM MDT,Male,4,1,1
2023/04/25 1:13:36 PM MDT,Male,12,1,20
2023/04/25 1:13:45 PM MDT,Female,5,1,13
2023/04/25 1:13:51 PM MDT,Female,5,2,6
2023/04/25 1:13:53 PM MDT,Female,8,2,8
2023/04/25 1:14:04 PM MDT,Female,5,2,67
2023/04/25 1:15:01 PM MDT,Male,8,2,76
